com.samsung.shealth.activity.day_summary,6305105,6
movement_type,create_sh_ver,energy_type,exercise_time,step_count,exercise_calorie_target,active_time,target,others_time,modify_sh_ver,update_time,floors_target,create_time,floor_count,dynamic_active_time_target,exercise_time_target,goal,longest_active_time,score,move_hourly_count,duration_type,move_hourly_target,distance,dynamic_active_time,calorie,extra_data,deviceuuid,run_time,pkg_name,walk_time,longest_idle_time,datauuid,day_time
0,62670070,0,0,0,200,0,90,0,62670070,2024-07-20 12:47:02.925,10,2024-07-18 21:06:07.126,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,03cd4132-8458-483c-99af-ee88f5aa44b3.extra_data.json,8pzzg0NREq,0,com.sec.android.app.shealth,0,-1,03cd4132-8458-483c-99af-ee88f5aa44b3,2024-06-24 00:00:00.000,
0,62670070,0,0,0,200,0,90,0,62670070,2024-07-20 12:47:03.085,10,2024-07-18 21:06:07.307,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,9d04e34b-328c-481f-bb76-da2ef65df4f0.extra_data.json,8pzzg0NREq,0,com.sec.android.app.shealth,0,-1,9d04e34b-328c-481f-bb76-da2ef65df4f0,2024-06-23 00:00:00.000,
0,62670070,0,0,0,300,0,90,0,62670070,2024-07-18 21:06:07.480,10,2024-07-18 21:06:07.480,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,2c4bd8fe-499a-445b-91fb-48a6a0055b14.extra_data.json,8pzzg0NREq,0,com.sec.android.app.shealth,0,-1,2c4bd8fe-499a-445b-91fb-48a6a0055b14,2024-06-22 00:00:00.000,
0,62670070,0,8535864,22355,200,11941349,90,0,62670070,2024-07-20 20:28:08.889,10,2024-07-19 21:00:00.626,0.0,30,30,-1,4079864,221,12,0,8,15365.363,0,450.5211,ddc5cc59-754c-4d0d-a48a-8e8c19932c1e.extra_data.json,8pzzg0NREq,0,com.sec.android.app.shealth,11941349,30600000,ddc5cc59-754c-4d0d-a48a-8e8c19932c1e,2024-07-20 00:00:00.000,
0,62670070,0,7909380,15102,200,8148828,90,0,62670070,2024-07-22 00:52:30.095,10,2024-07-20 21:00:01.507,0.0,30,30,-1,5280000,150,6,0,8,10380.41,0,303.67615,c73cb2d7-0705-4561-8d78-fb8b8279f062.extra_data.json,8pzzg0NREq,0,com.sec.android.app.shealth,8148828,39120000,c73cb2d7-0705-4561-8d78-fb8b8279f062,2024-07-21 00:00:00.000,
0,62670070,0,16172868,36293,200,19833065,90,0,62670070,2024-07-22 21:02:11.908,10,2024-07-21 21:00:00.457,0.0,30,30,-1,6480000,366,13,0,8,24877.482,0,740.51794,e3a93ddc-3d2b-4ed1-95c5-5225c21ccef7.extra_data.json,8pzzg0NREq,0,com.sec.android.app.shealth,19833065,33960000,e3a93ddc-3d2b-4ed1-95c5-5225c21ccef7,2024-07-22 00:00:00.000,
0,62670070,0,6569000,15020,200,8299503,90,0,62670070,2024-07-24 01:14:26.238,10,2024-07-22 21:00:03.358,0.0,30,30,-1,1980000,153,11,0,8,10364.165,0,306.9015,e6ea905e-2286-446a-b668-a11944dcfd64.extra_data.json,8pzzg0NREq,0,com.sec.android.app.shealth,8299503,25200000,e6ea905e-2286-446a-b668-a11944dcfd64,2024-07-23 00:00:00.000,
0,62670070,0,3220123,6793,200,3839565,90,0,62670070,2024-07-24 20:05:09.707,10,2024-07-23 21:00:00.679,0.0,30,30,-1,1739538,70,9,0,8,4712.2017,0,139.66032,5ec697a6-e6a0-489b-90cc-41b080ffb93d.extra_data.json,8pzzg0NREq,0,com.sec.android.app.shealth,3839565,20460000,5ec697a6-e6a0-489b-90cc-41b080ffb93d,2024-07-24 00:00:00.000,
0,62670070,0,5323000,13159,200,7230176,90,0,62701610,2024-07-29 23:51:43.245,10,2024-07-24 21:16:40.127,0.0,30,30,-1,4063000,133,10,0,8,9013.771,0,265.36774,b723a6ff-791f-4b11-924f-4c1f163b1f69.extra_data.json,8pzzg0NREq,0,com.sec.android.app.shealth,7230176,44400000,b723a6ff-791f-4b11-924f-4c1f163b1f69,2024-07-25 00:00:00.000,
0,62670070,0,2079671,4764,200,2709709,90,0,62670070,2024-07-27 10:12:08.719,10,2024-07-25 21:44:14.285,0.0,30,30,-1,1439671,50,8,0,8,3309.8672,0,98.876656,dc179673-a4cd-41b2-95b1-46e430c2174b.extra_data.json,8pzzg0NREq,400,com.sec.android.app.shealth,2709309,17100000,dc179673-a4cd-41b2-95b1-46e430c2174b,2024-07-26 00:00:00.000,
